position_group,name,slot_cost,effect,why_it_costs_that,tags,synergy
WR_TE,Explosive First Step,1,ACC costs 18% less.,Narrow burst discount.,athletic,
WR_TE,Natural Athlete,2,"AGI, COD, JMP and ACC each cost 8% less.",Broad athletic package.,athletic,
WR_TE,Natural Hands,1,CTH costs 15% less and CIT 8% less.,Core receiving package.,hands,
WR_TE,Body Control,1,JMP costs 15% less and SPC 10% less.,Catch-point package.,hands,
WR_TE,Route Savant,2,SRR and MRR cost 12% less; DRR 8% less.,Three route ratings.,routes,
WR_TE,Sudden Release,1,RLS costs 18% less.,Focused press-beating tool.,routes,
WR_TE,Vertical Tracker,1,DRR and SPC cost 10% less; JMP 8% less.,Vertical receiving package.,routes,
WR_TE,Possession Specialist,1,CIT costs 15% less; CTH and SRR 6% less.,Chain-moving profile.,hands,
WR_TE,YAC Natural,2,"COD, BTK and BCV cost 10% less.",Broad after-catch value.,yac,
WR_TE,Contested-Catch Monster,2,CIT and SPC cost 15% less.,Two high-impact catch ratings.,hands,
WR_TE,Slot Technician,1,SRR and COD cost 10% less.,Focused slot profile.,routes,
WR_TE,Deep Threat DNA,2,"SPD 8%, DRR 12%, RLS 6% cheaper.","Cascades strongly with Naturally Fast, therefore premium.",routes,Naturally Fast
WR_TE,Red-Zone Weapon,1,"JMP and SPC cost 8% less. TD-based weekly challenges pay +1 bonus XP, max +1/week.",Situational + XP.,hands,
WR_TE,Versatile Weapon,2,Secondary-role attributes cost 10% less: WR ball-carrier ratings; TE crossover receiving/blocking ratings.,Broad position-dependent package.,versatility,
WR_TE,Blocking Pride,1,TE only: RBK/PBK/impact-blocking ratings cost 12% less. WR receives 10% cheaper blocking ratings if exposed by Madden.,Lower direct OVR impact.,blocking,
WR_TE,Third-Down Target,1,"Reception/first-down style weekly challenges pay +1 XP when completed, max +1/week.",Performance based.,xp,
WR_TE,Faster Developer,3,Earn +15% Player XP from all eligible sources. Dev-trait promotion challenge checks occur 50% more often until the player reaches X-Factor. Does not guarantee promotion; the challenge still must be completed.,"Directly accelerates both ratings growth and access to development promotions, so it consumes half the build.",progression,
WR_TE,Team Player,2,Team XP functionality is unlocked from Season 1. The player may convert his earned Player XP to Team XP at the normal 4:3 rate even before reaching his personal ceiling. XP already spent on teammates cannot be reclaimed.,Creates roster-wide value years earlier than normal.,team,
WR_TE,Great Negotiator,2,All REC Coin contract offers are increased by 20% after the normal contract-value calculation. Applies to Contracts II and III; Rookie Contract remains draft-slot based unless league configuration enables rookie negotiation bonuses.,Meaningful recurring economy bonus.,contract,
WR_TE,Known Commodity,3,"For Contracts II and III, the player's performance component can never produce an offer below the 'Elite' salary band. The contract engine values him as an established ceiling-level asset even after a poor contract window.",Removes most downside risk from the career economy.,contract,
WR_TE,Competitive Drive,1,"Completing all three issued weekly challenges grants +2 bonus Player XP, once per league week.",Requires performance rather than granting passive ratings.,xp,
WR_TE,Film Junkie,2,Future AWR upgrades cost 20% less Player XP. Defensive players also receive 20% cheaper PRC upgrades. Does not change IQ-test results.,Permanent discount on highly valuable mental attributes.,mental,
WR_TE,Generational Ceiling,3,Starting development trait is Star rather than Normal. The player is eligible for future Superstar/X-Factor promotion challenges through performance. No direct ratings are added.,A major career-long ceiling advantage.,dev,
DB,Born With Quick Feet,1,AGI and COD cost 15% less.,Core DB movement.,athletic,
DB,Naturally Fast,3,SPD and ACC cost 12% less.,Premium coverage athleticism.,athletic,
DB,Explosive First Step,1,ACC costs 18% less.,Narrow burst discount.,athletic,
DB,Natural Athlete,2,"AGI, COD, JMP and ACC each cost 8% less.",Broad athletic package.,athletic,
DB,Coverage Instincts,2,MCV and ZCV cost 10% less.,Touches both major coverage attributes.,coverage,
DB,Ball Hawk,2,INT costs 15% less and CTH 10% less.,Premium takeaway package.,turnover,
DB,Press Technician,1,CB only: PRS costs 15% less and MCV 8% less.,Position-specific.,coverage,
DB,Natural Range,1,PUR costs 12% less and ZCV 10% less.,Safety-friendly range package.,coverage,
DB,Sure Tackler,1,TAK costs 18% less.,Narrow but valuable.,tackling,
DB,Natural Enforcer,2,POW costs 15% less and TAK 10% less.,Premium physical package.,tackling,
DB,Closing Speed,1,PUR costs 15% less and ACC 8% less.,Pursuit-focused.,athletic,
DB,Route Recognition,1,Future PRC upgrades cost 15% less and ZCV 8% less.,Mental/coverage hybrid.,mental,
DB,Body Control,1,JMP costs 15% less and INT 8% less.,Catch-point defense.,turnover,
DB,Takeaway Artist,1,"INT and CTH cost 8% less. Multi-takeaway games award +1 bonus XP, max +1/week.",Attribute + conditional XP.,turnover,
DB,Box Instincts,1,"SS/FS: TAK, BSH and PUR cost 8% less.",Run-support package.,tackling,
DB,Mirror Technique,2,"MCV, COD and AGI cost 10% less.",Premium man-coverage package.,coverage,
DB,Zone Eyes,1,ZCV costs 15% less; INT 6% less.,Zone-focused.,coverage,
DB,Big-Game DB,1,Playoff takeaway/PD milestones pay +20% XP.,Situational.,xp,
DB,Faster Developer,3,Earn +15% Player XP from all eligible sources. Dev-trait promotion challenge checks occur 50% more often until the player reaches X-Factor. Does not guarantee promotion; the challenge still must be completed.,"Directly accelerates both ratings growth and access to development promotions, so it consumes half the build.",progression,
DB,Team Player,2,Team XP functionality is unlocked from Season 1. The player may convert his earned Player XP to Team XP at the normal 4:3 rate even before reaching his personal ceiling. XP already spent on teammates cannot be reclaimed.,Creates roster-wide value years earlier than normal.,team,
DB,Great Negotiator,2,All REC Coin contract offers are increased by 20% after the normal contract-value calculation. Applies to Contracts II and III; Rookie Contract remains draft-slot based unless league configuration enables rookie negotiation bonuses.,Meaningful recurring economy bonus.,contract,
DB,Known Commodity,3,"For Contracts II and III, the player's performance component can never produce an offer below the 'Elite' salary band. The contract engine values him as an established ceiling-level asset even after a poor contract window.",Removes most downside risk from the career economy.,contract,
DB,Competitive Drive,1,"Completing all three issued weekly challenges grants +2 bonus Player XP, once per league week.",Requires performance rather than granting passive ratings.,xp,
DB,Film Junkie,2,Future AWR upgrades cost 20% less Player XP. Defensive players also receive 20% cheaper PRC upgrades. Does not change IQ-test results.,Permanent discount on highly valuable mental attributes.,mental,
DB,Generational Ceiling,3,Starting development trait is Star rather than Normal. The player is eligible for future Superstar/X-Factor promotion challenges through performance. No direct ratings are added.,A major career-long ceiling advantage.,dev,
LB,Born With Quick Feet,1,AGI and COD cost 15% less.,Movement discount.,athletic,
LB,Naturally Fast,3,SPD and ACC cost 12% less.,Premium sideline range.,athletic,
LB,Explosive First Step,1,ACC costs 18% less.,Narrow burst discount.,athletic,
LB,Natural Athlete,2,"AGI, COD, JMP and ACC each cost 8% less.",Broad athletic package.,athletic,
LB,Built Strong,1,STR costs 18% less and BSH 8% less.,Front-seven physicality.,run,
LB,Sure Tackler,1,TAK costs 18% less.,Core LB tool.,run,
LB,Natural Enforcer,2,POW costs 15% less and TAK 10% less.,Premium physical package.,run,
LB,Sideline-to-Sideline,2,"PUR costs 15%, COD 10%, AGI 8% less.",Broad range package.,athletic,
LB,Gap Shooter,1,"ACC 8%, BSH 10%, PUR 10% cheaper.",Run-fit package.,run,
LB,Block Destroyer,1,BSH costs 18% less.,Narrow front-seven skill.,run,
LB,Coverage Instincts,2,MCV and ZCV cost 10% less.,Important coverage package.,coverage,
LB,Route Recognition,1,PRC future upgrades cost 15% less and ZCV 8% less.,Mental/coverage.,mental,
LB,Ball Hawk,2,INT costs 15% less and CTH 10% less.,Premium turnover package.,turnover,
LB,Pass Rush Bend,1,FMV costs 15% less and PUR 8% less.,Rush specialization.,rush,
LB,Power Rusher,1,PMV costs 15% less and BSH 8% less.,Rush specialization.,rush,
LB,Field General Mind,2,"AWR and PRC future XP costs 15% less. If IQ is 125+, first defensive mental upgrade each season is 25% cheaper.",Strong IQ synergy.,mental,
LB,Run-Game Eraser,1,"TAK, PUR and BSH each cost 8% less.",Broad run-stop package.,run,
LB,Turnover Hunter,1,"INT/CTH 8% cheaper; takeaway weekly challenge pays +1 bonus XP, max +1/week.",Conditional.,turnover,
LB,Faster Developer,3,Earn +15% Player XP from all eligible sources. Dev-trait promotion challenge checks occur 50% more often until the player reaches X-Factor. Does not guarantee promotion; the challenge still must be completed.,"Directly accelerates both ratings growth and access to development promotions, so it consumes half the build.",progression,
LB,Team Player,2,Team XP functionality is unlocked from Season 1. The player may convert his earned Player XP to Team XP at the normal 4:3 rate even before reaching his personal ceiling. XP already spent on teammates cannot be reclaimed.,Creates roster-wide value years earlier than normal.,team,
LB,Great Negotiator,2,All REC Coin contract offers are increased by 20% after the normal contract-value calculation. Applies to Contracts II and III; Rookie Contract remains draft-slot based unless league configuration enables rookie negotiation bonuses.,Meaningful recurring economy bonus.,contract,
LB,Known Commodity,3,"For Contracts II and III, the player's performance component can never produce an offer below the 'Elite' salary band. The contract engine values him as an established ceiling-level asset even after a poor contract window.",Removes most downside risk from the career economy.,contract,
LB,Competitive Drive,1,"Completing all three issued weekly challenges grants +2 bonus Player XP, once per league week.",Requires performance rather than granting passive ratings.,xp,
LB,Film Junkie,2,Future AWR upgrades cost 20% less Player XP. Defensive players also receive 20% cheaper PRC upgrades. Does not change IQ-test results.,Permanent discount on highly valuable mental attributes.,mental,
LB,Generational Ceiling,3,Starting development trait is Star rather than Normal. The player is eligible for future Superstar/X-Factor promotion challenges through performance. No direct ratings are added.,A major career-long ceiling advantage.,dev,
